Delivery_ID,Latitude,Longitude,Weight_Kg
D001,32.4779,95.4082,38
D002,28.6375,83.5206,69
D003,17.79,71.4768,71
D004,25.5202,87.8305,69
D005,13.7207,78.0967,55
D006,19.143,70.9351,31
D007,30.7043,88.4783,80
D008,27.4833,89.3642,43
D009,16.1045,81.4694,30
D010,17.2272,69.2591,73
D011,25.322,92.024,23
D012,17.1448,71.9783,26
D013,27.0329,87.12,56
D014,13.18,74.1917,24
D015,20.8048,82.9488,91
D016,12.4049,81.8708,79
D017,32.3403,69.5809,53
D018,30.0351,86.438,61
D019,14.4178,78.3538,12
D020,16.9322,77.716,38
D021,30.3487,83.6419,59
D022,11.0095,81.9003,9
D023,30.3124,69.364,8
D024,17.7565,69.7163,32
D025,21.0408,90.565,54
D026,15.2795,80.3609,47
D027,29.5959,74.858,26
D028,12.466,71.7902,65
D029,30.7289,77.1152,18
D030,32.1873,90.8409,86
D031,8.2408,85.5874,51
D032,15.7954,79.7164,55
D033,13.9186,76.9372,74
D034,31.5007,70.1053,68
D035,26.8526,87.0827,27
D036,25.0611,69.2177,49
D037,10.3609,82.8675,28
D038,32.2403,77.0855,8
D039,30.1802,70.2065,65
D040,10.2444,86.0307,92
D041,16.7157,92.1455,6
D042,9.3337,82.5748,29
D043,12.4472,80.0066,12
D044,10.3963,81.9888,72
D045,8.3156,93.1205,36
D046,33.5522,78.5707,94
D047,33.6572,80.6044,48
D048,34.8067,75.6199,99
D049,28.8,92.5358,55
D050,28.9309,86.7617,97
